Tipo de dato	Agregados macroeconómicos: Nivel 1	Agregados macroeconómicos: Nivel 2	Niveles y tasas	Periodo	Total
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2023T4	375.161
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2023T3	364.816
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2023T2	362.010
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2023T1	360.083
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2022T4	350.088
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2022T3	337.389
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2022T2	333.308
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2022T1	325.592
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2021T4	322.659
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2021T3	308.358
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2021T2	297.904
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2021T1	293.369
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2020T4	289.633
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2020T3	285.947
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2020T2	245.108
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2020T1	298.322
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2019T4	314.919
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2019T3	311.392
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2019T2	310.078
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2019T1	309.124
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2018T4	305.818
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2018T3	302.068
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2018T2	299.596
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2018T1	296.377
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2017T4	295.544
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2017T3	291.342
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2017T2	289.674
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2017T1	285.932
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2016T4	282.056
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2016T3	280.309
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2016T2	276.972
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2016T1	275.083
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2015T4	273.054
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2015T3	270.752
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2015T2	268.339
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2015T1	265.947
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2014T4	260.693
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2014T3	258.397
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2014T2	257.113
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2014T1	256.405
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2013T4	254.581
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2013T3	254.906
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2013T2	255.243
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2013T1	255.947
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2012T4	253.293
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2012T3	257.494
Datos ajustados de estacionalidad y calendario	Producto interior bruto a precios de mercado		Dato base	2012T2	258.841
